,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
336,1751,1818,i-1.4,pittaja-pratisyayah,pittaja-pratiśyāyaḥ,पित्तज-प्रतिश्यायः,,"the disorder is characterized by uṣṇaḥ srāvō ghrāṇāt [warm and yellowish discharge through nose], sapītakaḥ srāvō ghrāṇāt/pīta kaphasruti [yellowish discharge from nose], kr̥śaḥ [emaciated/thin /malnourished], atipāṇḍuḥ [excessive paleness of body], santāpaḥ [burning sensation], tr̥ṣṇāni(bhi)pīḍitaḥ [excessive thirst], sadhūmaṁ sahasā vahniṁ vamatīva ca nāsāyā mānavaḥ [feeling as if he would suddenly vomit out a mass of fire with fumes], ghrāṇapiṭikā sambhava [manifestation of eruptions inside nose], bhramaḥ [giddiness or dizziness], nāsāgra pāka [suppuration of nose tip], jvaraḥ [fever], rūkṣa kaphasruti [discharge of dried mucus], uṣṇaḥkaphasruti [discharge of hot mucus], tāmra kaphasruti [coppery coloured nasal discharge]",,ITA-5.65.15,"Rhinitis due to
vitiated pitta","A disorder characterized by some or all the following signs
and symptoms: a warm yellowish discharge from the nose;
emaciated/thin/malnourished; excessive paleness of body;
burning sensation; excessive thirst; feeling of suddenly
vomiting out a mass of fire and fumes; manifestation of
eruptions inside nose; giddiness or dizziness; suppuration of
nose tip; fever; discharge of dried mucus; discharge of hot
mucus; coppery-coloured nasal discharge.",pittaja-pratiśyāyaḥ,वप्तज-प्रवतशयायः
337,1752,1819,i-1.5,kapaja-pratisyayah,kaphaja-pratiśyāyaḥ,कफज-प्रतिश्यायः,,"the disorder is characterized by muhuḥśīta-kaphasrāvaḥ(ghrāṇāt) [cold copius mucous dischage from nose], muhuḥśukla-kaphasrāvaḥ(ghrāṇāt) [intermittent discharge of white mucus], śuklāvabhāsaḥ [whitish appearence of the body], śuklākṣa [whitish colored eyes], śirō-gauravaḥ [heaviness of head], kaṇṭha atīva kaṇḍūḥ [excessive itching in throat], tālu-atīvakaṇḍūḥ [excessive itching in palate], ōṣṭha-atīvakaṇḍūḥ [excessive itching in lips], śiraḥatīva-kaṇḍūḥ [excessive itching in head], kāsaḥ [cough], aruci [tastelessness], vamathu [vomiting], gātragaurava [heaviness of body parts], vadana mādhuryam [sweet taste in mouth], snigdha kapha sruti [unctuous mucus discharge], śūnākṣa [swelling in orbital region]",,ITA-5.65.16,"Rhinitis due to
vitiated kapha","A disorder characterized by some or all the following signs
and symptoms: copious cold mucus discharge from nose;
intermittent discharge of white mucus; whitish appearance of
body; whitish-coloured eyes; heaviness of head; excessive
itching in throat; excessive itching in palate; excessive itching
in lips; excessive itching in head; cough; loss of taste;
vomiting; heaviness of body parts; sweet taste in mouth;
unctuous mucus discharge; swelling in orbital region.",kaphaja-pratiśyāyaḥ,्कफज-प्रवतशयायः
338,1754,1821,i-1.7,raktaja-pratisyayah,raktaja-pratiśyāyaḥ,रक्तज-प्रतिश्यायः,,"the disorder is characterized by raktasrāvaḥ [blood discharge], tāmrākṣaḥ [coppery redness of eyes], urōghāta-prapīḍitaḥ [afflicted by features of chest injry], durgandhōcchvāsaḥ/śvāsa pūtitā [bad odour from nose], durgandha-vadanaḥ [foul odour from mouth/hallitosis], gandhaṁ na vētti [unable to perceive smell], snigdhaḥ kr̥mayōḥ atra mūrcchanti [manifestation of unctuous appearing worms], śvētāḥkr̥mayōḥ atra mūrcchanti [manifestation of whitish worms], aṇavaḥ kr̥mayōḥ atra mūrcchanti [manifestation of minute worms], kr̥mimūrdhavikārēṇa [disorders of kr̥mija sirō rōga], urasaḥ suptatā [feelingness of numbness over the chest], tāmra nētratvam [coppery coloured eyes], śrōtra kaṇḍu [itching in ear], akṣi kaṇḍu [itching in eyes], nāsā kaṇḍu [itching in nose]",,ITA-5.65.19,"Rhinitis due to
vitiated blood","A disorder characterized by some or all the following signs
and symptoms: a bloody discharge; coppery redness of eyes;
afflicted by features of chest injury; bad odour from nose; foul
odour from mouth/halitosis; inability to perceive smell;
manifestation of unctuous-looking worms; manifestation of
whitish worms; manifestation of minute worms; disorders of
kṛmija siro roga; feeling of numbness over chest; coppery-
coloured eyes; itching in ear; itching in eyes; itching in nose.",raktaja-pratiśyāyaḥ,ि्तज-प्रवतशयायः
339,1759,1826,sl20 (i-2),kshavathuh,kṣavathuḥ,क्षवथुः,,it is characterised by excessive sneezing. this may be explained by: (a) vitiated vata and kapha.,,ITA-5.65.6,Sneezing,"A disorder characterized by kapha repeatedly and noisily
being expelled from the nose; vayu and kapha being forcefully
and noisily expelled from nose.",kṣavathuḥ,क्षर्रुः
340,1761,1828,sk93 (i-3),nasasoshah,nāsāśoṣaḥ,नासाशोषः,,"it is characterised by dryness of nose, loss of smell, wasting of mucous membrance. this may be explained by: (a) increased vata drying up the kapha in the nose.",,ITA-5.65.12,"Excessive dryness of
nasal mucosa","A disorder characterized by excessive dryness of the nose;
inspiration and expiration with difficulty; feeling as if nose
obstructed with śuka.",nāsāśoṣaḥ,िासाशोषः
341,1764,1832,i-6 (sk95),apinasah,apīnasaḥ,अपीनसः,,,,ITA-5.65.2,"Chronic rhinitis
(allergic)","A disorder characterized by some or all the following signs
and symptoms: obstruction of the nasal passage; smoky
sensation in nose; sliminess in nose; dryness of nose;
inability to recognise smell; inability to identify taste; infection
with organisms; respiration with ghurghur sound; producing
more distress than pīnasa roga; discharge from nose
resembling a sheep; continuous discharge; slimy discharge;
yellowish discharge; discharge of suppurated nasal excreta;
discharge of thick nasal discharge.",apīnasaḥ,अपीिसः
342,1771,1839,i-9 (sk9y),nasarbudah,nāsārbudaḥ,नासार्बुदः,,,,ITA-5.65.20,Nasal tumour,"A disorder characterized by some or all the following signs
and symptoms: a circular swelling over the muscles; fixed
circular swelling; mild pain; large in size; broad-based; slow
growing; nonsuppurating; obstructing the nasal pathway.",nāsārbudaḥ,िासाबुवादः
343,1782,1850,i-13 (sk9y),diptah,dīptaḥ,दीप्तः,,,,ITA-5.65.9,"Burning sensation in
nose, acute
catarrhal rhinitis","A disorder characterized by some or all the following signs
and symptoms: a severe burning sensation in the nose; air
expired from the nose feeling like smoke; sensation as if
entire nose is on fire; external part of nose feeling burnt;
internal part of nose feeling burnt; tenderness/inability to
tolerate touch.",dīptaḥ,दी्तः
344,1783,1851,i-14 (sk96),bramsathuh,bhraṃśathuḥ,भ्रंशथुः,,,,ITA-5.65.8,"Thick saltish
nasal discharge","A disorder characterized by excessive secretion of viscid
dense mucus; excessive undigested sour secretion;
excessive salty mucus discharge.",bhraṃśathuḥ,भ्ंशरुः
345,1785,1853,sk94 (i-16),nasarsah,nāsārśaḥ,नासार्शः,,"it is characterised by growth in nasal mucosa, nasal obstruction, nasal tone of voice, pain, discharge from the nose. this may be explained by: (a) vitiated dosha affecting the mucosa, muscle and adipose tissue in the nose.",,ITA-5.65.21,Nasal polyp,"A disorder characterized by some or all the following signs
and symptoms: cold catarrh; excessive sneezing; difficulty in
breathing; pus discharge from nose; nasal twang in
speech; headache.",nāsārśaḥ,िासाशवाः
346,1828,1896,sk81 (j-19),badhiryam,bādhiryam,बाधिर्यम्,,"it is characterised by impaired, complete loss of hearing. this may be explained by: (a) vitiation of all three dosha with a predominance of the vatadosha affecting the hearing faculties.",,ITA-5.64.4,Deafness,A disorder characterized by deafness/hearing impairment.,bādhiryam,बावधयवाम्
347,1833,1901,ja-1 (sk8y),utpatah,utpātaḥ,उत्पातः,,,,ITA-5.64.23,"Inflammation of ear
lobule","A disorder characterized by some or all the following signs
and symptoms: inflammation; burning sensation;
inflammation/suppuration; painful; swelling over ear lobe;
vesicular eruptions on ear lobe; papules/eruptions on
karṇapāli; redness of ear lobe; burning sensation in ear lobe;
sodden appearance of ear lobe; bluish-black swelling over
ear lobe; pain in ear lobe; burning sensation in ear lobe;
suppuration of ear lobe.",utpātaḥ,उतपातः
348,1837,1905,ja-5 (sk8y),paripotakah,paripoṭakaḥ,परिपोटकः,,,,ITA-5.64.22,"Traumatic ear lobule
injury","A disorder characterized by some or all the following signs
and symptoms: cracking of the skin over the swollen ear lobe;
blackish swelling in ear lobe; slightly reddish swelling in ear
lobe; rigid swelling in ear lobe; painful swelling in ear lobe; eg
traumatic lobule injury commonly seen in older children.",paripoṭakaḥ,परिपोट्कः
349,1900,1971,la,bagnah,bhagnaḥ,भग्नः,,the disorder is characterized by unnata [elevating],,ITA-5.55.1,Fracture,"A condition characterized by marked swelling; inability to bear
movement or rotation and touch; crepitus on squeezing;
looseness of parts; appearance of various types of pain; no
relief of pain in any posture",bhagnaḥ,भ्नः
350,1902,1973,la-1.1,utpishta-sandhimuktam,utpiṣṭa-sandhimuktam,उत्पिष्ट-सन्धिमुक्तम्,,"the disorder is characterized by sandhi-śōpha (samantāt) [swelling all around the joints], rātribhavā rujā [pain increases in the night], sandhāvubhayatō śōphaḥ [swelling on both sides], nānāprakāra vēdanā rātrau pradurbhavanti [onset of vartious type of pain at night]",,ITA-5.55.2,Fracture- dislocation,"Fracture with dislocation is characterized by swelling around
the joints; pain increasing at night; swelling on both sides;
onset of various types of pain at night.",utpiṣṭa-sandhimuktam,उवतपष्-सवनधमु्तम्
351,1903,1974,la-1.2,vislishta-sandhimuktam,viśliṣṭa-sandhimuktam,विश्लिष्ट-सन्धिमुक्तम्,,"the disorder is characterized by alpa śōpha [mild swelling], vēdanāsātatyaṁ [persistent pain], sandhivikriyā [derangement of the joints]",,ITA-5.55.3,"Subluxation or
incomplete
dislocation","A derangement or incomplete dislocation of joints
characterized by mild swelling; persistent pain; derangement
of the joints.",viśliṣṭa-sandhimuktam,वर्वश्लष्-सवनधमु्तम्
352,1904,1975,la-1.3,vivartita-sandhimuktam,vivartita-sandhimuktam,विवर्तित-सन्धिमुक्तम्,,"the disorder is characterized by sandhipārśvāpagamana [lateral displacement of the joint], viṣamāṅgatā [deformity], vēdanā [pain]",,ITA-5.55.4,"Dislocation with
lateral displacement","A lateral dislocation of a joint characterized by lateral
displacement of the joint; deformity; pain.",vivartita-sandhimuktam,वर्र्रतवात-सवनधमु्तम्
353,1919,1990,la-2.11,patitabagnah,pāṭitabhagnaḥ,पाटितभग्नः,,"the disorder is characterized by aṇubahuvidāritaṁ [multiple fracture with tiny bone pieces], vēdanāvat [associated with pain]",,ITA-5.55.7,Cracked fracture,"A fracture characterized by multiple fractures with
comminuted bone pieces; associated with pain.",pāṭitabhagnaḥ,पारटतभ्नः
354,1920,1991,la-2.12,sputita-bagnah,sphuṭita-bhagnaḥ,स्फुटित-भग्नः,,"the disorder is characterized by śūkapūrṇa iva ādhmānam [distention with feeling as filled with bristles], vipulaṁ, visphuṭita [multiple cracks on bone]",,ITA-5.55.8,Fissured fracture,"A fracture characterized by distension and a sensation of
being filled with bristles; multiple cracks on bone.",sphuṭita-bhagnaḥ,सफुरटत-भ्नः
355,1944,2015,lb-1.2,durdagdham,durdagdham,दुर्दग्धम्,,"the disorder is characterized by sphōṭaḥ [blister], tīvra cōṣa [severe sucking pain], tīvra dāha [severe burning sensation], tīvra rāga [severe redness], tīvra pāka [severe inflammation], vēdanā [pain], cirāccōpaśāmyanti [takes long time to subside]",,ITA-5.76.230,Improper burn,"A condition characterized by some or all the following signs
and symptoms: blister; severe sucking pain; severe burning
sensation; severe redness; severe inflammation; pain which
takes a long time to subside.",durdagdham,ददु गवा धम्
356,2013,2084,ld-14,marmabighatajadahah,marmābhighātajadāhaḥ,मर्माभिघातजदाहः,,,,ITA-5.27.8,"Generalized burning
sensation due to
injury to vulnerable
locations","A disorder characterized by a burning sensation due to injury
of a vulnerable point.",marmābhighātajadāhaḥ,ममावावभघातजदािः
357,2015,2086,le-1,tvaggata-salyah,tvaggata-śalyaḥ,त्वग्गत-शल्यः,,"the disorder is characterized by vaivarṇyama [discolouration], āyata śōpha [elongated prominent swelling], dāruṇa śōphaḥ [hard swelling]",,ITA-5.73.2,"Foreign body
in the skin","A disorder due to presence of foreign body in the skin;
characterized by discoloration; elongated prominent swelling;
hard swelling.",tvaggata-śalyaḥ,तर्गगत-शलयः
358,2018,2089,le-4,siragata-salyah,sirāgata-śalyaḥ,सिरागत-शल्यः,,"the disorder is characterized by sirādhmānaṁ [engorgement], sirāśūlaṁ [pain in veins], sirāśōphaḥ [swelling]",,ITA-5.73.5,"Foreign body
in the veins","A disorder due to presence of foreign body in the veins;
characterized by engorgement; pain in veins; swelling.",sirāgata-śalyaḥ,वसिागत-शलयः
359,2019,2090,le-5,snayugata-salyah,snāyugata-śalyaḥ,स्नायुगत-शल्यः,,"the disorder is characterized by saṁrambha [redness/ congesion/ inflammation], snāyujālōtkṣēpaṇaṁ [on cutting of tendons, forceful flow of fluid], ugraruk [associated with severe pain]",,ITA-5.73.6,"Foreign body in
the ligaments,
and tendons","A disorder due to presence of foreign body in the ligaments;
characterized by redness/congestion/inflammation; forceful
flow of fluid on cutting tendons; associated with severe pain.",snāyugata-śalyaḥ,निायुगत-शलयः
360,2020,2092,le-7,sandhigata-salyah,sandhigata-śalyaḥ,सन्धिगत-शल्यः,,"the disorder is characterized by svakarmaguṇahāniḥ [loss of functions of joints], cēṣṭōparamaḥ [inability to do flexion, extension (movements)]",,ITA-5.73.7,"Foreign body
in the joints","A disorder due to presence of foreign body in the joints;
characterized by loss of joint functions; inability to perform
flexion/extension movements.",sandhigata-śalyaḥ,सवनधगत-शलयः
361,2021,2093,le-8,asthigata-salyah,asthigata-śalyaḥ,अस्थिगत-शल्यः,,"the disorder is characterized by asthipūrṇatā [feeling of fullness], vividha vēdanā prādurbhāvaḥ/ anēka rupā rujā [various types of pain], śōphaḥ [oedema]",,ITA-5.73.8,"Foreign body
in the bones","A disorder due to presence of foreign body in the bones;
characterized by a feeling of fullness; various types of
pain; oedema.",asthigata-śalyaḥ,अवसरगत-शलयः
362,2032,2104,lg-1.2,amasayastha-rudhirah,āmāśayastha-rudhiraḥ,आमाशयस्थ-रुधिरः,,"the disorder is characterized by rudhiraṁ chardayēt [vomits blood/ hemetemesis], ādhmānaṁ atimātraṁ [severe bloating], bhr̥śa dāruṇa śūlaḥ [severe tremendous sharp pain/ colic]",,ITA-5.73.16,"Accumulation of
blood in the stomach
due to injury","A disorder characterized by vomiting blood/haemetemesis;
severe bloating; severe exquisite sharp pain/colic.",āmāśayastha-rudhiraḥ,आमाशयसर-रुवधिः
363,2033,2105,lg-1.3,pakvasayastha-rudhirah,pakvāśayastha-rudhiraḥ,पक्वाशयस्थ-रुधिरः,,"the disorder is characterized by gaurava [heaviness], gurutvam adhaḥ [heaviness below the umbilicus], khēbhyōḥ raktāgamaḥ [bleeding through orifices], rujā/śūlaṁ [pain], śītatā [coldness], śītatā adhōnābhēḥ [coldness in lower abdomen], gaurava [heaviness]",,ITA-5.73.17,"Accumulation of
blood in the large
intestine due to injury","A disorder characterized by heaviness; heaviness below the
umbilicus; bleeding through orifices; pain; coldness; coldness
in lower abdomen.",pakvāśayastha-rudhiraḥ,पक्ाशयसर-रुवधिः
364,2035,2107,lh,viddhah,viddhaḥ,विद्धः,,the disorder is characterized by uttuṇḍitaṁ nirgataṁ vā (yadṅgam āśayāt binā ) [foreign body in such cases may remain either protruding out or may have gone out through it],note: also classifed under #san@vranah#[k],ITA-5.73.19,"Penetrating or
puncturing deep
injury","A disorder characterized by a foreign body which may remain
either protruding or have exited through the wound.",viddhaḥ,वर्द्ः
365,2036,2108,lh-1,siraviddhah,sirāviddhaḥ,सिराविद्धः,,,,ITA-5.73.20,"Penetrating or
puncturing deep
injury to vessels",,sirāviddhaḥ,वसिावर्द्ः
366,2037,2109,lh-2,snayuviddhah,snāyuviddhaḥ,स्नायुविद्धः,,"the disorder is characterized by kaubjyam [flexion deformity/hump backed/ bending of back], kriyāsvaśaktiḥ [inability in movements], cirādvraṇō rōhaṇam [wound takes a long time to heal], tumula-rujaḥ [severe pain], śarīrāvayavāvasādaḥ [weakness of the limbs of the body]",,ITA-5.73.21,"Penetrating or puncturing
deep injury to ligaments","A disorder characterized by a flexion deformity/humpback;
inability to move; a slowly healing wound; severe pain;
weakness of limbs.",snāyuviddhaḥ,निायुवर्द्ः
367,2038,2110,lh-3,calacala-sandhikshatah,calācala-sandhikṣataḥ,चलाचल-सन्धिक्षतः,,,,ITA-5.73.22,"Injury to movable and
immovable joints",,calācala-sandhikṣataḥ,िलािल-सवनधक्षतः
368,2045,2117,lh-4.6,mamsavahasrotoviddhah,māṁsavahasrōtōviddhaḥ,मांसवहस्रोतोविद्धः,,"the disorder is characterized by māṁsa śōṣa [muscular wasting], śvayathuḥ [swelling], sirāgranthi [tortousity of blood vessels], maraṇaṁ [death]",,ITA-5.73.29,"Injury to the channels
that nourish muscles",,māṁsavahasrōtōviddhaḥ,मांसर्िस्ोतोवर्द्ः
369,2056,2128,l-5,basti-abighatah,basti-abhighātaḥ,बस्ति-अभिघातः,,"the disorder is characterized by basti kuṇḍalaḥ [spirallising spasm in the basti/urinary bladder], udāvarta [upward movement of vāyu in the abdomen], gulmaḥ [palpable glandular enlargment in abdomen/ abdominal lump], anilāṣṭhīlā [hard tumour caused by vāyu], upasthambha [spasticity of the bladder], vāta nigrahaḥ [stasis of flatus], mūtra nigrahaḥ [stasis of urine], varcō nigrahaḥ [stasis of faeces], vaṅkṣṇa śūlaḥ [pain in groin], mēhana śūlaḥ [penile pain], basti śūlaḥ [colicky pain in the basti/urinary bladder], nābhigrahaḥ [catching sensation in umbilical region], kukṣigrahaḥ [catching sensation in lower abdominal region], guda grahaḥ [catching sensation in anus], śrōṇi grahaḥ [catching sensation in the pelvis]",,ITA-5.73.39,"Injury to the
urinary bladder","A disorder characterized by some or all the following signs
and symptoms: spiralling spasm in the urinary bladder or
basti; upward movement of vata in the abdomen; palpable
glandular enlargement in abdomen/abdominal lump; hard
tumour caused by vata; bladder spasticity; stasis of flatus;
stasis of urine; stasis of faeces; pain in groin; penile pain;
colicky pain in urinary bladder or basti; catching sensation in
umbilical region; catching sensation in lower abdominal
region; catching sensation in anus; catching sensation in
the pelvis.",basti-abhighātaḥ,बवसत-अवभघातः
370,2058,2131,l-7,sitabihatah,śītābhihataḥ,शीताभिहतः,,,,ITA-5.73.41,Frostbite,,śītābhihataḥ,शीतावभितः
371,2068,2141,mb-1,skandagrahah,skandagrahaḥ,स्कन्दग्रहः,,"the disorder is characterized by bālaḥkṣaṇat udvējanam [sudden onset of agitation in baby], bālaḥ kṣaṇāt trāsanam [sudden onset of fearfulness in the baby], bālaḥ kṣaṇāt rōdati [sudden onset of crying], dhātrīṁ nakhāt dāryati [gouging or scratching the wetnurse or mother], dhātriṁ dantāt dāryati [baby biting the wetnurse or mother], ātmānam nakhāt dāryati [baby scratches or gouges his/her body], ātmānam dantāt dāryati [baby bites his/ herself], ūrddhvam nirīkṣatē [upward movement of vāyu in the abdomen], dantān khādatē [gnashes-grind one's teeth], kujanam [cooing sound], jr̥mbhaṇaṁ [yawning], bhruvau-kṣipati [hasty movements of eyebrows], dantau kṣipati [gnashes-grind one's teeth], ōṣṭaṁ kṣipati [drooping of lips], phēnaṁ vamati [frothy vomiting], ati kṣāmatā [severe weakness], niśi jāgaraṇa [keeping awake at night], śunākṣa [swelling of eyes], bhinna viṭ [altered stools, loose motions], bhinna svara [hoarse voice], māṁsa śōṇita gandhi [emitions of odour of meat and blood], na ca aśnāti [aversion to food/ breat milk], ēkanētra srāva [lacrimation from one eye], gātrasya kampanam [convulsive movements of limbs], gātrasya srāvaḥ/ sasvēdaḥ [sweating], dāntanakhādati [gnashes-grind one's teeth], raktagandhikāḥ [smell of blood from the body], rōdanam (alpaḥ) [diminished crying], vakrāsyatā [facial paralysis], vitrāsaḥ [fearfulness], stanyaṁ naivābhinandati/ stanadviḍ [aversion of breast milk], gātrasya spandanaṁ [twitching of limbs], ūrdhvaṁ dr̥ṣṭyā nirīkṣēta [upward movement of vāyu in the abdomen], alpa rōdanam [diminution in crying], śūnākṣaḥ [swelling in eyes], kṣataja gandhikaḥ [emitions of odour of wound], hataika pakṣma nētraḥ [ptosis of one eye], calita ēka pakṣma nētraḥ [flickering of one eye], udvigna [anxious], sululita cakṣu [shaking of eyes/ contionuous movements of eyes], gāḍha viṭkatā [compact stools/ constipation], śiraḥ vikṣipatē muhuḥ [frequent shaking of head], hataika pakṣa [hemiplegia/ hemiparesis], stabdha aṁgaḥ [stiffness of body], nat kandharaḥ [bending/drooping of neck], visvaram rōditi [cries in hoarse voice], lālāvamanaṁ [vomiting of saliva], vasā gandhiḥ [odour of animal fat], asra gandhiḥ [odour of blood], baddhamuṣṭi [making fists], baddha śakr̥ta [retained stool/contipation], calita ēka akṣi [movement of one eye], calita ēka bhrū [movement of one eyebrow], calita ēka gaṇḍaḥ [movement of one cheek], saṁrakta ubhayalōcanā [reddness of both eyes], vaikalyaṁ [lameness], maraṇaṁ [death]",,ITA-5.71.8,"Neurological
symptoms due to
external invisible
factors","A disorder characterized by some or all the following signs
and symptoms: the sudden onset of agitation in the baby;
sudden onset of fearfulness in baby; sudden onset of crying;
gouging or scratching wet-nurse or mother; biting wet-nurse
or mother; scratching or gouging own body; biting him or
herself; upward movement of eyes; teeth-gnashing; cooing
sound; yawning; hasty movements of eyebrows; teeth-
grinding; drooping of lips; frothy vomiting; severe weakness;
staying awake at night; swelling of eyes; altered stools/loose
motions; hoarse voice; smelling of meat and blood; aversion
to food/breast milk; lacrimation from one eye; convulsive
movements of limbs; sweating; body smelling of blood;
diminished crying; facial paralysis; fearfullness; aversion to
breast milk; twitching of limbs; smelling of wound; ptosis of
one eye; flickering of one eye; anxious; quickening of eye
movements; constipation; frequent shaking of head;
hemiplegia/hemiparesis; stiffness of body; bending/drooping
of neck; crying with hoarse voice; vomiting of saliva; odour of
animal fat; odour of blood; making fists; hard stool; movement
of one eye brow; movement of one cheek; reddness of both
eyes; lameness; death.",skandagrahaḥ,स्कनदग्रिः
372,2070,2143,mb-3,sakunigrahah,śakunīgrahaḥ,शकुनीग्रहः,,"the disorder is characterized by vihaṅga gandhi [smell of birds from the body], sasrāvivraṇa paripīḍitaḥ samantāt [generalised discharging lesions], srastāṅagatā [flaccidity/ laxity], sadāhayukta sphōṭaḥ pracita tanuḥ [blister with burning sensation spread on body], sapāka yukta sphōṭaḥ pracita tanuḥ [blisters with suppuration spread on body], kṣatābhibhūtaḥ [afflicted by injuries], atisāraḥ [diarrhoea], jihvāgata vraṇaḥ [ulcers on tongue], tālugata vraṇaḥ [ulcers on palate], galagata vraṇaḥ [ulcers in throat], sphōṭaḥ sandhiṣu punaḥ punaḥ [repeated blisters on joints], niśiyahni pravilīyantē [manifestation/affliction during day and night], vaktra pāka [stomatitis], guda pāka [proctitis], jvaraḥ [fever], śakuni gandha [smell of shakuni/ a type of bird]",,ITA-5.71.10,"Symptom complex
resembling bacterial
infection of the skin
due to external
invisible factors","A disorder characterized by some or all the following signs
and symptoms: a smell of birds emanating from the body;
generalized discharging lesions; flaccidity/laxity; blisters with
burning sensation spread over body; blisters with suppuration
spread over body; afflicted with skin lesions due to injuries or
trauma; diarrhoea; tongue ulcer; palate ulcer; throat ulcer;
repeated blisters on joints; manifesting at any time; stomatitis;
proctitis; fever; smelling of shakuni (a type of bird).",śakunīgrahaḥ,श्कुिीग्रिः
373,2072,2145,mb-5,putanagrahah,pūtanāgrahaḥ,पूतनाग्रहः,,"the disorder is characterized by rōdanam [crying], vamiḥ [vomiting], kampaḥ [shivering of body], tandrā [drowsiness/lassitude], rātrau prajāgaraṇaḥ [wakefulness at night], hidmā [hiccup], ādhmānaṁ [abdominal distension], śakr̥ta bhēdaḥ/atisāra [altered bowels/loose stools], pipāsā [thirst], mūtra nigrahaḥ [retention of urine], srastāṅgatā [flaccidity/ laxity], hr̥ṣṭarōmatvam/ hr̥ṣita rūhaḥ [having the hair of the body erect], kākavata pūtigandhitva [crow sent like smell], svapiti sukhaṁ divā [sleeps well in daytime], tr̥ṣṇā [thirst], tiryaka prēkṣaṇam [sideway looking]",,ITA-5.71.12,"Fever, retention of
urine due to external
invisible factors","A disorder characterized by some or all the following signs
and symptoms: crying; vomiting; shivering of body;
drowsiness/lassitude; wakefulness at night; hiccups;
abdominal distension; altered bowels/loose stools; thirst;
retention of urine; flaccidity/laxity; horripilation; crow-like
smell; sleepiness in daytime; thirst; involuntary
sideways glance.",pūtanāgrahaḥ,पूतिाग्रिः
374,2073,2146,mb-6,andhaputanagrahah,andhapūtanāgrahaḥ,अन्धपूतनाग्रहः,,"the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], chardiḥ [vomiting], jvaraḥ [fever], tr̥ṣṇā [thirst], vasāgandhaḥ [odour of animal fat], stanadvēṣaḥ [aversion to breast feeding], durvarṇaḥ [discoloration of the body/ abnormal colour], satataṁ adhaḥ śayō [constant downward gaze], amla gandhiḥ [sour smell], alpa nidratā [less sleep], varcō bhēdaḥ [altered stools, loose motions], vaivarṇya [discolouration], daurgandhyam [bad odour], aṅga śōṣaṇam [emaciation], dr̥ṣṭēḥ sāda [exhaustion/ tired eyes], dr̥ṣṭēḥatiruk [severe pain in eyes], dr̥ṣṭēḥ kaṇḍu [itching in eyes], pōthakī janmaḥ [eruption of red pimples on eyelids], dr̥ṣṭēḥ śūnatā [swelling of eyes], hidmā [hiccup], udvēga [agitation/ anxiety], svara tīkṣṇatā [harsh voice], vēpathuḥ [shivering/tremors], matsya gandhaḥ [fishy smell from body]",,ITA-5.71.13,"Diarrhoea, fever,
insomnia, emaciation
complex due to
external invisible
factors","A disorder characterized by some or all the following signs
and symptoms: diarrhoea; cough; vomiting; fever; thirst;
odour of animal fat; aversion to breast milk; abnormal colour
of body; constant downward gaze; sour smell; insufficient
sleep; altered stools/loose motions; discoloration of body; bad
odour; emaciation; tired eyes; severe pain in eyes; itching of
eyes; stye; swelling of eyes; hiccups; agitation; harsh voice;
shivering/tremors; fishy smell from body.",andhapūtanāgrahaḥ,अनधपूतिाग्रिः
375,2074,2147,mb-7,sitaputanagrahah,śītapūtanāgrahaḥ,शीतपूतनाग्रहः,,"the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], kṣīṇaḥ [emaciation], chardiḥ [vomiting], nētrarōgaḥ [eye diseases], vigandhaḥ [bad odour], bhr̥śaṁ ativēpatē [strong/ frequent tembling of body], udvigna [agitated/ anxious], kampaḥ [tremors], rōdanaṁ [crying], tiryagīkṣaṇam [sideway looking], tr̥ṣṇā [thirst], āntrakūjana [barborygmus/ gurgling sound of intestines], vasāvat visragandhaḥ [smell of raw meat/ animal fat], ēkasyapārśvē śītatvam [coldness on one side of body], uṣṇatvaṁ aparapārśvai [hotnes on another side of body], prarudhyāt [obstructed], saṁlīnaḥ svapiti [baby clings on to the mother and sleeps]",,ITA-5.71.14,"Assymmetric body
temperature, excess
sleep due to external
invisible factors","A disorder characterized by some or all the following signs
and symptoms: diarrhoea; cough; weakness; vomiting; eye
diseases; bad odour; frequent trembling of body; agitated;
tremors; crying; involuntary sideways glance; thirst;
borborygmi; smell of raw meat/animal fat; cold on one side
but warm on other side of body; obstructed; clinging to mother
and sleeping.",śītapūtanāgrahaḥ,शीतपूतिाग्रिः
376,2094,2169,sr05 (md-10),parigarbikah,pārigarbhikaḥ,पारिगर्भिकः,,"it is characterised by diminution of digestive power, tastelessness, emaciation, abdominal enlargement; may be associated with cough, drowsiness, lassitude, giddiness or dizziness, vomiting and diarrhoea. this may be explained by: (a) derangement of digestive and metabolic factors, lack of nutrition increasing vata.",,ITA-5.71.3,Malnutrition disorder,"A disorder characterized by some or all the following signs
and symptoms: diminution of digestive power; loss of taste;
emaciation; cough; abdominal enlargement; drowsiness/
lassitude; giddiness or dizziness; vomiting.",pārigarbhikaḥ,पारिगरभवा्कः
